Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
China;2016;DDoS;Government;4.66;768750;Insider;Unpatched Software;Firewall;52
Germany;2021;Phishing;Banking;41.75;212696;Insider;Social Engineering;Antivirus;84
Japan;2024;DDoS;Retail;74.14;198198;Unknown;Unpatched Software;Firewall;104
Canada;2020;Phishing;Government;66.17;942980;Nation-state;Social Engineering;VPN;111
Japan;2017;Phishing;Telecommunications;59.01;724036;Unknown;Social Engineering;VPN;56
Italy;2019;Ransomware;Healthcare;57.01;805255;Unknown;Weak Passwords;Firewall;93
Australia;2024;SQL Injection;Healthcare;17.6;200340;Nation-state;Zero-day;Firewall;61
India;2023;SQL Injection;Retail;12.01;91736;Nation-state;Zero-day;Firewall;108
Italy;2016;Malware;Telecommunications;36.19;741159;Nation-state;Weak Passwords;VPN;92
South Africa;2019;Malware;Healthcare;45.7;412833;Nation-state;Zero-day;Encryption;101
Spain;2015;Man-in-the-Middle;IT;16.13;797659;Hacker Group;Social Engineering;Firewall;75
Israel;2024;DDoS;Telecommunications;72.9;13722;Insider;Unpatched Software;Antivirus;42
Germany;2018;SQL Injection;Banking;33.95;164681;Unknown;Zero-day;Firewall;91
USA;2016;Malware;Retail;55.03;637578;Hacker Group;Weak Passwords;Encryption;83
Brazil;2022;Malware;Government;57.84;381557;Hacker Group;Unpatched Software;AI-based Detection;64
Israel;2023;SQL Injection;Retail;56.28;754313;Unknown;Zero-day;Firewall;67
France;2015;DDoS;Healthcare;99.14;695077;Nation-state;Social Engineering;VPN;88
Canada;2015;DDoS;Banking;76.04;135385;Hacker Group;Social Engineering;Encryption;42
South Africa;2017;Phishing;IT;55.08;472722;Hacker Group;Social Engineering;Antivirus;29
Iran;2017;DDoS;Government;62.37;377410;Insider;Weak Passwords;Firewall;25
Australia;2017;Man-in-the-Middle;Education;41.76;883338;Hacker Group;Weak Passwords;AI-based Detection;60
Israel;2021;DDoS;Retail;18.08;923352;Insider;Zero-day;Antivirus;70
Israel;2021;Phishing;Telecommunications;84.27;689526;Nation-state;Social Engineering;VPN;50
USA;2022;Phishing;Government;3.29;38760;Nation-state;Social Engineering;VPN;120
Italy;2015;SQL Injection;Banking;69.71;301768;Unknown;Zero-day;Firewall;95
Germany;2020;Man-in-the-Middle;Telecommunications;64.7;714949;Hacker Group;Zero-day;AI-based Detection;59
Germany;2017;Ransomware;Retail;61.57;147646;Hacker Group;Weak Passwords;VPN;70
China;2021;Ransomware;IT;45.58;454355;Hacker Group;Weak Passwords;Encryption;54
Iran;2021;Malware;IT;14.37;154885;Unknown;Zero-day;Antivirus;59
Brazil;2015;Man-in-the-Middle;Healthcare;28.5;566200;Insider;Zero-day;AI-based Detection;56
USA;2017;Ransomware;Telecommunications;64.08;946483;Insider;Weak Passwords;VPN;90
France;2022;Phishing;Banking;83.67;303253;Nation-state;Social Engineering;Antivirus;114
India;2016;DDoS;Education;55.27;495044;Nation-state;Social Engineering;Encryption;73
South Korea;2024;DDoS;Banking;22.93;972521;Hacker Group;Weak Passwords;AI-based Detection;54
Germany;2021;Ransomware;Healthcare;19.54;470864;Unknown;Weak Passwords;Antivirus;90
Canada;2018;SQL Injection;Banking;37.57;976978;Unknown;Zero-day;Firewall;73
Australia;2017;SQL Injection;Banking;18.45;376369;Hacker Group;Zero-day;Firewall;83
Germany;2022;Phishing;Government;78.32;777900;Hacker Group;Social Engineering;Antivirus;25
South Korea;2015;Phishing;Telecommunications;38.86;950117;Hacker Group;Social Engineering;Antivirus;31
Brazil;2016;Phishing;Telecommunications;41.61;252157;Insider;Social Engineering;Antivirus;96
Mexico;2024;Malware;Banking;58.53;745213;Insider;Zero-day;Antivirus;41
China;2024;SQL Injection;Education;32.32;578507;Insider;Zero-day;Firewall;93
Iran;2015;Phishing;Education;43.47;278001;Nation-state;Social Engineering;VPN;35
South Africa;2019;Ransomware;Education;9.69;983691;Insider;Weak Passwords;VPN;90
USA;2020;Phishing;Education;59.71;438300;Hacker Group;Social Engineering;VPN;96
China;2024;Phishing;IT;59.7;36603;Unknown;Social Engineering;VPN;68
Canada;2024;Malware;Retail;13.27;970402;Hacker Group;Social Engineering;Antivirus;120
Germany;2017;Man-in-the-Middle;IT;88.86;635339;Nation-state;Social Engineering;VPN;87
Japan;2021;Malware;IT;72.25;996925;Unknown;Social Engineering;VPN;66
USA;2021;Phishing;Education;16.12;158174;Nation-state;Social Engineering;Antivirus;76
Spain;2023;SQL Injection;Education;25.61;386528;Insider;Zero-day;Firewall;77
Spain;2023;DDoS;IT;96.73;168680;Insider;Weak Passwords;AI-based Detection;86
USA;2023;Man-in-the-Middle;IT;48.73;553831;Unknown;Zero-day;VPN;35
India;2017;DDoS;Telecommunications;49.31;281699;Nation-state;Weak Passwords;Encryption;30
Brazil;2022;Phishing;Retail;4.01;679939;Hacker Group;Social Engineering;VPN;84
Spain;2023;SQL Injection;Education;33.49;467644;Insider;Zero-day;Firewall;117
Mexico;2019;Phishing;Telecommunications;53.55;427243;Unknown;Social Engineering;Antivirus;55
Mexico;2024;SQL Injection;Education;18.09;616605;Unknown;Zero-day;Firewall;39
South Africa;2017;Malware;Banking;65.67;525306;Unknown;Unpatched Software;Firewall;98
South Korea;2015;Ransomware;IT;30.22;808920;Unknown;Weak Passwords;Antivirus;51
Italy;2015;Ransomware;Healthcare;7.37;843369;Insider;Weak Passwords;Firewall;57
USA;2018;SQL Injection;Banking;38.0;361094;Nation-state;Zero-day;Firewall;41
Italy;2015;DDoS;Healthcare;28.18;522767;Hacker Group;Unpatched Software;Encryption;98
Iran;2017;Malware;IT;93.71;486649;Nation-state;Social Engineering;Encryption;28
Australia;2017;SQL Injection;Healthcare;15.63;350122;Insider;Zero-day;Firewall;55
South Korea;2021;Man-in-the-Middle;Banking;76.7;102575;Nation-state;Social Engineering;VPN;47
Germany;2016;Phishing;Retail;9.26;167149;Unknown;Social Engineering;VPN;119
China;2021;Man-in-the-Middle;Retail;31.08;670413;Insider;Unpatched Software;AI-based Detection;97
Russia;2018;Ransomware;Education;18.75;662007;Hacker Group;Weak Passwords;Antivirus;94
Australia;2020;Ransomware;IT;27.86;341674;Insider;Weak Passwords;AI-based Detection;106
South Africa;2021;Malware;Government;90.7;898583;Insider;Unpatched Software;AI-based Detection;33
UK;2015;Phishing;Healthcare;43.69;178535;Insider;Social Engineering;VPN;32
Australia;2021;DDoS;Government;90.41;289254;Unknown;Weak Passwords;VPN;72
India;2019;Malware;IT;41.42;478409;Insider;Zero-day;AI-based Detection;92
Germany;2021;SQL Injection;Retail;69.44;43490;Hacker Group;Zero-day;Firewall;89
Iran;2016;DDoS;Banking;10.68;435877;Insider;Zero-day;Firewall;109
Iran;2018;Malware;Healthcare;18.94;748564;Unknown;Unpatched Software;Antivirus;109
Canada;2018;Phishing;Healthcare;26.36;452333;Unknown;Social Engineering;Antivirus;111
Mexico;2019;SQL Injection;Retail;96.38;868600;Nation-state;Zero-day;Firewall;46
South Korea;2018;Phishing;Telecommunications;63.0;490076;Hacker Group;Social Engineering;Antivirus;36
USA;2020;Man-in-the-Middle;Education;4.47;204031;Hacker Group;Weak Passwords;Firewall;91
South Africa;2019;Ransomware;Government;36.62;973117;Nation-state;Weak Passwords;Antivirus;62
Japan;2016;SQL Injection;Telecommunications;13.68;784565;Unknown;Zero-day;Firewall;35
Russia;2017;SQL Injection;Retail;40.59;199610;Hacker Group;Zero-day;Firewall;85
France;2017;Phishing;Retail;44.97;594792;Unknown;Social Engineering;Antivirus;74
USA;2023;Phishing;Education;91.68;709955;Unknown;Social Engineering;VPN;114
Italy;2017;Ransomware;IT;72.53;679441;Nation-state;Weak Passwords;Antivirus;83
South Africa;2016;Malware;Retail;25.92;497177;Hacker Group;Weak Passwords;Firewall;44
Iran;2018;Malware;Telecommunications;73.76;424644;Unknown;Weak Passwords;Antivirus;104
Australia;2015;Malware;Banking;36.41;924588;Nation-state;Social Engineering;AI-based Detection;56
South Korea;2022;Malware;Telecommunications;8.96;856064;Hacker Group;Unpatched Software;Firewall;102
Nigeria;2019;Man-in-the-Middle;Education;91.05;642274;Insider;Unpatched Software;Firewall;109
Japan;2023;Phishing;Retail;62.82;254809;Hacker Group;Social Engineering;VPN;96
South Korea;2023;SQL Injection;Telecommunications;12.66;666764;Insider;Zero-day;Firewall;30
China;2021;Phishing;Healthcare;70.91;322685;Unknown;Social Engineering;VPN;65
India;2021;SQL Injection;Healthcare;15.48;569845;Hacker Group;Zero-day;Firewall;62
Spain;2022;SQL Injection;Telecommunications;62.95;423756;Insider;Zero-day;Firewall;65
India;2020;DDoS;Education;92.5;736780;Unknown;Social Engineering;Firewall;59
Iran;2015;Malware;Government;26.94;735517;Nation-state;Zero-day;VPN;28
Nigeria;2024;DDoS;IT;17.18;667312;Hacker Group;Zero-day;VPN;53
South Africa;2015;SQL Injection;Healthcare;86.16;662810;Hacker Group;Zero-day;Firewall;43
Canada;2020;SQL Injection;Government;93.69;699946;Unknown;Zero-day;Firewall;38
Italy;2023;SQL Injection;Banking;61.38;267773;Hacker Group;Zero-day;Firewall;70
Japan;2017;Phishing;Government;26.24;271409;Hacker Group;Social Engineering;VPN;25
Italy;2016;Phishing;Government;23.45;681688;Unknown;Social Engineering;VPN;44
Mexico;2017;Ransomware;IT;40.56;46698;Unknown;Weak Passwords;Encryption;56
USA;2024;Malware;IT;5.11;436305;Hacker Group;Social Engineering;Antivirus;88
Mexico;2024;Man-in-the-Middle;Telecommunications;68.32;193406;Unknown;Weak Passwords;VPN;120
UK;2021;DDoS;Education;33.52;109120;Insider;Zero-day;Firewall;50
China;2024;Phishing;IT;56.0;714414;Nation-state;Social Engineering;Antivirus;54
Canada;2023;Man-in-the-Middle;Education;89.65;139901;Hacker Group;Weak Passwords;AI-based Detection;78
Spain;2022;Malware;Healthcare;14.87;429800;Insider;Weak Passwords;AI-based Detection;82
Germany;2023;DDoS;IT;67.11;358522;Nation-state;Unpatched Software;Encryption;92
Japan;2019;Malware;Healthcare;66.98;598724;Nation-state;Unpatched Software;Encryption;72
Nigeria;2019;SQL Injection;IT;41.4;417582;Hacker Group;Zero-day;Firewall;40
Nigeria;2018;Ransomware;Healthcare;7.59;767676;Insider;Weak Passwords;Antivirus;48
USA;2016;Ransomware;Retail;5.64;275995;Nation-state;Weak Passwords;Antivirus;89
China;2021;DDoS;Retail;62.1;696820;Hacker Group;Weak Passwords;Antivirus;101
Brazil;2018;SQL Injection;Telecommunications;71.13;330738;Insider;Zero-day;Firewall;86
UK;2016;DDoS;Banking;57.89;611442;Insider;Social Engineering;VPN;26
Australia;2022;Ransomware;IT;53.58;804325;Hacker Group;Weak Passwords;Encryption;89
South Africa;2017;Ransomware;Telecommunications;95.21;675704;Hacker Group;Weak Passwords;Firewall;34
Brazil;2017;Malware;IT;64.34;892587;Nation-state;Social Engineering;VPN;52
Nigeria;2015;Man-in-the-Middle;Telecommunications;62.88;659296;Nation-state;Social Engineering;Antivirus;57
Brazil;2015;Man-in-the-Middle;Telecommunications;60.78;242580;Nation-state;Unpatched Software;Encryption;75
Russia;2019;DDoS;IT;34.04;488033;Hacker Group;Social Engineering;Encryption;75
Japan;2023;DDoS;Education;19.43;640087;Hacker Group;Unpatched Software;Antivirus;77
USA;2019;SQL Injection;Government;9.85;114595;Insider;Zero-day;Firewall;69
UK;2023;Malware;Healthcare;61.8;421462;Nation-state;Unpatched Software;VPN;35
South Africa;2020;SQL Injection;Government;12.0;595813;Nation-state;Zero-day;Firewall;47
USA;2024;DDoS;Telecommunications;20.61;897073;Hacker Group;Weak Passwords;VPN;75
South Korea;2016;Ransomware;IT;71.26;265062;Nation-state;Weak Passwords;AI-based Detection;60
Canada;2020;Malware;IT;31.08;769871;Nation-state;Unpatched Software;AI-based Detection;39
USA;2019;Man-in-the-Middle;Telecommunications;37.03;438193;Unknown;Weak Passwords;Encryption;85
Australia;2020;DDoS;Government;62.75;319682;Unknown;Social Engineering;AI-based Detection;102
Spain;2021;Malware;Education;38.56;260181;Unknown;Weak Passwords;Antivirus;66
Australia;2018;SQL Injection;Healthcare;55.58;296554;Insider;Zero-day;Firewall;87
Nigeria;2016;Malware;Retail;81.97;525543;Hacker Group;Weak Passwords;Firewall;106
Mexico;2015;Phishing;Telecommunications;84.57;612515;Nation-state;Social Engineering;VPN;66
South Africa;2017;Malware;Healthcare;82.29;159945;Insider;Social Engineering;AI-based Detection;46
USA;2017;Malware;Healthcare;56.23;143480;Unknown;Social Engineering;AI-based Detection;31
France;2015;Ransomware;Telecommunications;25.02;505378;Hacker Group;Weak Passwords;Firewall;53
UK;2019;DDoS;Retail;7.72;787131;Insider;Social Engineering;Antivirus;113
France;2019;Malware;Banking;65.07;951715;Insider;Unpatched Software;Antivirus;74
Iran;2016;Man-in-the-Middle;Government;78.41;339362;Nation-state;Zero-day;VPN;91
India;2024;Man-in-the-Middle;IT;30.05;47913;Insider;Unpatched Software;VPN;88
UK;2018;DDoS;Education;56.46;477184;Unknown;Weak Passwords;Encryption;72
Japan;2017;Man-in-the-Middle;Retail;36.83;822104;Nation-state;Social Engineering;AI-based Detection;78
Australia;2017;SQL Injection;Healthcare;44.71;458011;Insider;Zero-day;Firewall;39
South Korea;2015;Ransomware;Telecommunications;45.2;418591;Unknown;Weak Passwords;Antivirus;43
Canada;2017;Malware;Banking;21.92;320043;Nation-state;Social Engineering;VPN;32
Japan;2022;Ransomware;IT;16.94;993698;Insider;Weak Passwords;Firewall;45
Australia;2021;SQL Injection;Telecommunications;52.23;568665;Hacker Group;Zero-day;Firewall;28
UK;2017;Malware;Retail;56.02;778802;Unknown;Unpatched Software;Firewall;48
France;2019;Malware;Retail;51.95;172733;Hacker Group;Social Engineering;Firewall;110
Mexico;2018;SQL Injection;IT;92.92;167328;Hacker Group;Zero-day;Firewall;58
UK;2021;Man-in-the-Middle;Healthcare;85.07;887451;Insider;Unpatched Software;AI-based Detection;38
South Korea;2023;Man-in-the-Middle;Healthcare;49.96;940588;Insider;Social Engineering;VPN;24
South Africa;2024;Ransomware;Retail;57.23;885439;Unknown;Weak Passwords;Encryption;94
South Africa;2022;Malware;IT;63.25;195259;Nation-state;Weak Passwords;Antivirus;33
France;2023;Phishing;IT;54.43;379949;Insider;Social Engineering;Antivirus;87
Germany;2021;Ransomware;Healthcare;66.4;336854;Insider;Weak Passwords;Encryption;86
Germany;2018;Man-in-the-Middle;Telecommunications;29.8;624562;Hacker Group;Unpatched Software;Antivirus;30
Spain;2017;Malware;Education;77.44;598331;Hacker Group;Unpatched Software;Antivirus;77
USA;2020;Ransomware;Telecommunications;98.55;595676;Insider;Weak Passwords;Antivirus;40
USA;2023;Man-in-the-Middle;IT;69.75;328954;Unknown;Unpatched Software;Encryption;66
Nigeria;2024;Ransomware;Government;49.29;390042;Hacker Group;Weak Passwords;VPN;77
Spain;2022;Phishing;Education;33.8;542681;Insider;Social Engineering;Antivirus;53
Canada;2024;Man-in-the-Middle;Healthcare;56.06;651877;Nation-state;Zero-day;Encryption;51
USA;2019;Man-in-the-Middle;Telecommunications;82.03;908127;Insider;Weak Passwords;AI-based Detection;97
Iran;2021;DDoS;IT;10.48;666203;Insider;Zero-day;Antivirus;90
Israel;2024;Ransomware;Education;12.42;461845;Insider;Weak Passwords;AI-based Detection;72
Iran;2022;Malware;Telecommunications;42.6;632843;Nation-state;Social Engineering;Firewall;40
Russia;2024;DDoS;IT;66.46;938066;Insider;Weak Passwords;VPN;115
Mexico;2023;Phishing;Healthcare;89.47;930939;Unknown;Social Engineering;VPN;55
Australia;2024;SQL Injection;Telecommunications;55.15;498022;Insider;Zero-day;Firewall;92
Brazil;2020;Man-in-the-Middle;Banking;58.99;140057;Hacker Group;Weak Passwords;AI-based Detection;86
India;2022;Phishing;Education;7.15;270182;Insider;Social Engineering;Antivirus;99
South Korea;2016;Man-in-the-Middle;Government;69.24;751644;Unknown;Zero-day;Encryption;49
Canada;2024;Malware;IT;94.0;778912;Nation-state;Social Engineering;VPN;32
USA;2024;Ransomware;Education;11.71;213477;Insider;Weak Passwords;VPN;114
Japan;2019;DDoS;Healthcare;18.64;87408;Unknown;Social Engineering;Firewall;79
UK;2019;Malware;Retail;12.99;476088;Hacker Group;Social Engineering;AI-based Detection;42
USA;2016;Phishing;IT;68.6;296381;Hacker Group;Social Engineering;Antivirus;120
Brazil;2016;DDoS;IT;39.95;974259;Unknown;Weak Passwords;Antivirus;61
Brazil;2024;Man-in-the-Middle;Retail;3.71;281973;Insider;Zero-day;AI-based Detection;72
China;2021;SQL Injection;Education;77.57;426233;Nation-state;Zero-day;Firewall;28
Nigeria;2016;Phishing;Government;15.35;578200;Insider;Social Engineering;VPN;52
Italy;2018;Ransomware;Retail;46.41;552058;Nation-state;Weak Passwords;AI-based Detection;65
Australia;2015;Malware;Telecommunications;38.69;406574;Unknown;Zero-day;AI-based Detection;116
Iran;2020;Malware;Banking;24.4;488484;Unknown;Zero-day;Antivirus;105
Australia;2015;Phishing;Telecommunications;73.76;310897;Unknown;Social Engineering;VPN;76
South Korea;2023;Ransomware;Telecommunications;12.06;889417;Insider;Weak Passwords;Antivirus;86
India;2018;Man-in-the-Middle;Telecommunications;16.93;545344;Unknown;Unpatched Software;AI-based Detection;39
USA;2017;Malware;Government;80.31;750459;Insider;Unpatched Software;Firewall;59
USA;2015;DDoS;IT;66.96;322916;Unknown;Social Engineering;AI-based Detection;33
Italy;2023;Phishing;Telecommunications;88.2;776998;Unknown;Social Engineering;VPN;30
Russia;2016;Phishing;Telecommunications;55.99;238615;Nation-state;Social Engineering;VPN;112
Israel;2020;DDoS;Healthcare;32.5;593562;Nation-state;Weak Passwords;VPN;54
Australia;2024;Phishing;Telecommunications;24.84;109143;Nation-state;Social Engineering;VPN;107
Mexico;2016;Man-in-the-Middle;IT;4.32;83431;Unknown;Unpatched Software;VPN;55
Nigeria;2021;Ransomware;Education;54.28;65354;Nation-state;Weak Passwords;Antivirus;91
Japan;2016;Ransomware;Banking;16.0;528243;Insider;Weak Passwords;Encryption;92
Brazil;2022;Phishing;Banking;5.54;225373;Nation-state;Social Engineering;Antivirus;116
Iran;2023;Ransomware;Education;23.21;847502;Nation-state;Weak Passwords;Firewall;29
Italy;2016;Man-in-the-Middle;Retail;32.63;97621;Nation-state;Zero-day;Firewall;41
Mexico;2017;Phishing;Telecommunications;61.58;397315;Nation-state;Social Engineering;VPN;60
France;2024;Malware;Telecommunications;93.7;204867;Insider;Weak Passwords;Encryption;114
Mexico;2016;SQL Injection;Retail;77.24;552132;Hacker Group;Zero-day;Firewall;25
Brazil;2024;Ransomware;Government;57.13;973042;Insider;Weak Passwords;Encryption;81
Spain;2016;SQL Injection;IT;18.06;767278;Unknown;Zero-day;Firewall;46
India;2018;Phishing;Banking;43.88;623420;Insider;Social Engineering;VPN;52
Iran;2022;DDoS;Telecommunications;25.53;467004;Unknown;Unpatched Software;Antivirus;67
South Africa;2021;SQL Injection;Healthcare;12.3;676990;Nation-state;Zero-day;Firewall;32
UK;2019;Phishing;IT;69.23;926183;Nation-state;Social Engineering;Antivirus;57
Spain;2023;Malware;IT;51.45;613604;Insider;Zero-day;Antivirus;32
USA;2019;Ransomware;Education;35.98;514999;Insider;Weak Passwords;AI-based Detection;88
India;2018;Ransomware;IT;13.23;79070;Nation-state;Weak Passwords;AI-based Detection;103
France;2017;Ransomware;Government;30.9;738228;Insider;Weak Passwords;Antivirus;43
Russia;2023;DDoS;Retail;97.51;131057;Insider;Zero-day;Encryption;85
South Africa;2022;Man-in-the-Middle;Government;81.26;512998;Insider;Zero-day;AI-based Detection;57
France;2023;Man-in-the-Middle;Telecommunications;97.57;629407;Nation-state;Weak Passwords;Encryption;75
USA;2020;Man-in-the-Middle;Retail;86.38;386630;Unknown;Zero-day;Encryption;54
Spain;2023;Phishing;Government;83.09;27935;Insider;Social Engineering;VPN;98
USA;2017;SQL Injection;Education;92.29;117805;Unknown;Zero-day;Firewall;115
Israel;2020;DDoS;Healthcare;71.02;766658;Insider;Zero-day;Firewall;28
